"","xh","r","p","fisrtYear","endYear","r_nino","p_nino","code","code_simple","lon","lat"
"1",1,-0.207973637981176,0.197827470209189,1798,2005,0.275619975945041,0.0851750648962211,"alge001","alge001",4.1,36.45
"2",2,-0.162953835665515,0.31505795553483,1770,2005,0.113419537687451,0.485905857505301,"alge002","alge002",4.1,36.45
"3",3,-0.134668632974191,0.407390229378519,1859,2006,0.0668562559497224,0.68188875957329,"alge003","alge003",3.1167,34.6
"4",6,0.151135039597849,0.351897995119638,1881,2010,-0.245169481553386,0.127309731470018,"cmr002","cmr002",16.166389,2.249722
"5",7,-0.0689326647455758,0.672552625499568,1630,2011,-0.0181784803860989,0.911351361915505,"dza004","dza004",NA,NA
"6",8,-0.0512320924200756,0.753557665956652,1774,2009,0.0348851175335128,0.830779826575427,"dza005","dza005",NA,NA
"7",9,-0.0715291943930779,0.660945858267715,1863,2011,-0.0796231269380185,0.625274346692289,"dza006","dza006",NA,NA
"8",10,-0.0373534558397268,0.818999136169009,1882,2011,-0.0429009202992055,0.792669003655628,"dza007","dza007",NA,NA
"9",11,0.11225001097551,0.490443373846676,1854,2005,0.261916498577301,0.102548875136796,"dza008","dza008",NA,NA
"10",12,-0.0706360941597143,0.664929459220279,1890,2011,-0.0835717929010131,0.608166524889284,"dza009","dza009",NA,NA
"11",13,-0.070130829053266,0.667187190901725,1916,2011,-0.0875028123629965,0.591337226251276,"dza010","dza010",NA,NA
"12",14,-0.23615904913313,0.142353887674945,1779,2011,0.052186479452208,0.749113720789813,"dza011","dza011",NA,NA
"13",15,-0.00881729022609687,0.956936673600512,1731,2011,0.0317463784082829,0.845812716635495,"dza012","dza012",NA,NA
"14",16,-0.0554348361375172,0.734048899716059,1774,2008,0.0259154582901524,0.87387932453526,"dza013","dza013",NA,NA
"15",17,-0.0995850999659202,0.540946466793348,1859,2011,-0.0586008932232906,0.719459676433424,"dza014","dza014",NA,NA
"16",18,-0.223429531590359,0.165784972175103,1661,2011,0.256486459571295,0.110136812541597,"dza015","dza015",NA,NA
"17",19,-0.0756002820863635,0.642905038337045,1866,2011,0.0073611457364818,0.964043349931548,"dza016","dza016",NA,NA
"18",20,0.00955029418021894,0.953360475219455,1531,2011,0.0385328974480984,0.813383641575285,"dza017","dza017",NA,NA
"19",21,-0.0618297911978474,0.7046812847058,1556,2011,0.0508145722783771,0.755504255433383,"dza018","dza018",NA,NA
"20",22,-0.116339119849949,0.474674329065329,1727,2005,0.190526907281493,0.238951149185009,"dza019","dza019",NA,NA
"21",23,-0.18978308394327,0.24082417023421,1891,2011,0.340470451596547,0.0315766035136731,"dza020","dza020",NA,NA
"22",24,0.109735406517523,0.500273064201943,1819,2011,0.0954546283836356,0.557939378708168,"dza021","dza021",NA,NA
"23",25,0.0576608822453608,0.72378129513628,1482,2011,-0.0223672124941088,0.891035613762459,"dza022","dza022",NA,NA
"24",26,0.114923090799444,0.48010457827698,1862,2011,0.0571004752459974,0.726361754938236,"dza023","dza023",NA,NA
"25",27,-0.160644023236617,0.322059223372872,1787,2011,0.272358377447362,0.08908687419585,"dza024","dza024",NA,NA
"26",28,-0.162953835665515,0.31505795553483,1770,2005,0.113419537687451,0.485905857505301,"dza025","dza025",NA,NA
"27",29,-0.123707691145921,0.446946991235517,1865,2011,0.0173935040504027,0.915165161156831,"dza026","dza026",NA,NA
"28",30,-0.0933360642667655,0.566750809825255,1819,2005,0.112232706491681,0.490510675341953,"dza027","dza027",NA,NA
"29",31,0.0318373960783994,0.845376004190738,1865,2011,-0.00452949935903128,0.97787049331127,"dza028","dza028",NA,NA
"30",32,-0.0681502008458297,0.676065214275245,1839,2005,0.216756829045788,0.179124545688386,"dza029","dza029",NA,NA
"31",33,0.0331127437846038,0.839261604001984,1445,2011,-0.00516197547359236,0.974781369636425,"dza030","dza030",NA,NA
"32",34,-0.0788794789936875,0.628518404530539,1640,2011,0.0351916131645489,0.829314966564217,"dza031","dza031",NA,NA
"33",35,-0.021026077665339,0.897533400590208,1778,2009,0.0352941715066905,0.828824927873091,"dza032","dza032",NA,NA
"34",36,-0.164727747615077,0.309746753195394,1855,2011,0.108231248243068,0.506200445965025,"dza033","dza033",NA,NA
"35",39,0.115638854802217,0.477355680766997,1863,2006,-0.178187589984319,0.27130864563178,"eth001","eth001",37.466667,12.616667
"36",40,0.351373117683876,0.0261998857202104,1933,2006,-0.308434806784328,0.0528238453686713,"eth002","eth002",37.966667,13.116667
"37",43,-0.16414233487267,0.311493202054961,1919,2004,0.250051123120086,0.119672194419112,"eth005","eth005",38.552588,8.977437
"38",46,-0.130170884791093,0.423373751629564,1877,2004,-0.101055636706961,0.534957158470144,"mar026","mar026",NA,NA
"39",47,0.0932938613664958,0.566926986583604,1657,2004,0.122806999055041,0.450287990214926,"mar027","mar027",NA,NA
"40",48,0.346402137773216,0.0285487394401803,1363,2011,-0.389633877553019,0.0129474436581338,"mar028","mar028",NA,NA
"41",49,-0.00607009224744136,0.970346615071493,1776,2011,-0.095696623001692,0.556936972325999,"mar029","mar029",NA,NA
"42",50,-0.237132702953075,0.14066785649733,1780,2011,0.331706056122796,0.0365300069140901,"mar030","mar030",NA,NA
"43",51,-0.0185489832604685,0.909551953135509,1495,2004,-0.252258928187486,0.116333360018075,"mar031","mar031",NA,NA
"44",52,-0.148096406309296,0.361776117853388,1891,2011,0.151996359527815,0.349128093931879,"mar032","mar032",NA,NA
"45",53,-0.0713761148716451,0.661628006494307,1730,2011,-0.0300013609985328,0.85419414157076,"mar033","mar033",NA,NA
"46",54,0.352215690499961,0.0258181120235038,1412,2004,-0.598317270663354,4.54881695179095e-05,"mar034","mar034",NA,NA
"47",55,0.103356405696058,0.525651305499809,1261,2011,-0.221883193113119,0.168810457895078,"mar035","mar035",NA,NA
"48",56,-0.113237379579034,0.486611155950039,1872,2011,0.160404420388881,0.322791018952687,"mar036","mar036",NA,NA
"49",57,-0.383988453792972,0.014439555508478,1910,2011,0.16658904516103,0.304235324045414,"mar037","mar037",NA,NA
"50",58,-0.145668719605818,0.369786744290659,1929,2011,0.0957097906697996,0.556882452497318,"mar038","mar038",NA,NA
"51",59,-0.311399531489347,0.0504710349562979,1903,2004,0.203612590423977,0.207606333669734,"mar039","mar039",NA,NA
"52",60,-0.0843287374974713,0.604910031778583,1792,2011,-0.00152794939014144,0.992534173814489,"mar040","mar040",NA,NA
"53",61,0.0538967959318447,0.741169973282734,1333,2011,-0.193632474186738,0.231237737483626,"mar041","mar041",NA,NA
