Year,sLOD,PAGES,Mann,PCA,CCA,GraphEM
1524,0.61436588,-0.358837255,-0.291340672,-0.326905305,-0.224032833,-0.449007066
1525,0.612704421,-0.357376923,-0.292428937,-0.326248264,-0.223108558,-0.444786974
1526,0.606300689,-0.356537736,-0.293848348,-0.325446461,-0.222606431,-0.443498232
1527,0.604924047,-0.356875926,-0.295723554,-0.326166211,-0.222809239,-0.445168616
1528,0.603772929,-0.358830909,-0.298073899,-0.328453487,-0.223982189,-0.449532138
1529,0.596834081,-0.361467857,-0.300798365,-0.331342677,-0.226200239,-0.455997638
1530,0.588423726,-0.363489474,-0.303697381,-0.333792103,-0.227615918,-0.460943721
1531,0.583714376,-0.364805172,-0.306524536,-0.334854828,-0.228402024,-0.46266353
1532,0.578880499,-0.365201695,-0.309052034,-0.334866426,-0.229107565,-0.462735212
1533,0.576695677,-0.365075,-0.311129703,-0.33465048,-0.228878232,-0.463347797
1534,0.569280042,-0.366218033,-0.312719778,-0.335578643,-0.22972393,-0.466217506
1535,0.564144625,-0.36778871,-0.31389749,-0.337336858,-0.231125141,-0.471594811
1536,0.562600314,-0.369149206,-0.314818233,-0.339129883,-0.23244442,-0.475105296
1537,0.562687181,-0.371176563,-0.315662318,-0.34141532,-0.233505008,-0.481457383
1538,0.561011072,-0.371858462,-0.316574973,-0.342535348,-0.234253291,-0.48489196
1539,0.562553367,-0.373359091,-0.317620364,-0.34383789,-0.235081742,-0.489361446
1540,0.559575667,-0.374343284,-0.318763661,-0.344767717,-0.235812543,-0.492979189
1541,0.558858653,-0.375397059,-0.319886218,-0.346497289,-0.237228782,-0.497137941
1542,0.556376769,-0.375984058,-0.320828457,-0.347379883,-0.237460508,-0.500075793
1543,0.553134474,-0.377725714,-0.321446366,-0.348953864,-0.238397169,-0.504276957
1544,0.550335146,-0.377995775,-0.32166335,-0.349282866,-0.238444423,-0.505000161
1545,0.544336643,-0.378818056,-0.321500792,-0.349784034,-0.239984091,-0.507875071
1546,0.545540354,-0.380117808,-0.321077565,-0.351003795,-0.240593362,-0.511189164
1547,0.548274429,-0.381221622,-0.320578706,-0.352384205,-0.241622783,-0.513347579
1548,0.548907706,-0.381785333,-0.320203279,-0.352971963,-0.24264851,-0.516394599
1549,0.554798519,-0.382889474,-0.320107927,-0.35418472,-0.243756014,-0.519096356
1550,0.554680782,-0.38367013,-0.321289061,-0.35553416,-0.244717988,-0.522180712
1551,0.558634927,-0.387889744,-0.322403002,-0.359742524,-0.247601165,-0.531682699
1552,0.561893157,-0.390401266,-0.323375669,-0.362671294,-0.250003453,-0.539204992
1553,0.563534123,-0.39187625,-0.324140822,-0.364397064,-0.250926385,-0.542958806
1554,0.564345464,-0.393238272,-0.324661125,-0.365921054,-0.25164675,-0.544132816
1555,0.565890052,-0.395352439,-0.324944358,-0.367938504,-0.253063743,-0.549956319
1556,0.568861155,-0.397308434,-0.32504832,-0.369445054,-0.25411802,-0.556187477
1557,0.569773263,-0.398633333,-0.325071317,-0.370451278,-0.254618096,-0.560083604
1558,0.573246907,-0.400014118,-0.325129708,-0.372127319,-0.255914719,-0.563488571
1559,0.576853571,-0.401256977,-0.325328514,-0.373019203,-0.256890334,-0.566862712
1560,0.581090958,-0.401942529,-0.325733722,-0.373352517,-0.257363624,-0.568216495
1561,0.585253227,-0.401745455,-0.326354947,-0.372987519,-0.256958515,-0.56735446
1562,0.586044087,-0.402083146,-0.32714417,-0.37267668,-0.256688437,-0.568092968
1563,0.582394022,-0.402046667,-0.328011405,-0.372871715,-0.257088752,-0.569070207
1564,0.581809104,-0.402220879,-0.328852866,-0.372394974,-0.256101182,-0.571122827
1565,0.58088414,-0.402880435,-0.329583152,-0.373038652,-0.256150085,-0.573438279
1566,0.580589222,-0.402321505,-0.330161648,-0.372505248,-0.255478605,-0.573031615
1567,0.58336854,-0.401997872,-0.330605034,-0.371955432,-0.255395463,-0.572974194
1568,0.583789645,-0.402670526,-0.330982139,-0.373216311,-0.256341241,-0.574776565
1569,0.587238412,-0.4028125,-0.331392842,-0.37356199,-0.257107059,-0.576718861
1570,0.587334238,-0.403528866,-0.331937622,-0.374003461,-0.257614411,-0.579204116
1571,0.588700079,-0.404397959,-0.332687105,-0.374626307,-0.258347095,-0.581143612
1572,0.589454546,-0.405027273,-0.333660697,-0.375717453,-0.259218104,-0.581712282
1573,0.590368059,-0.406216,-0.334820322,-0.377234961,-0.260369579,-0.585374388
1574,0.590379357,-0.407715842,-0.336080458,-0.378648298,-0.26112853,-0.588756367
1575,0.591407873,-0.408481188,-0.338079772,-0.380201707,-0.262179136,-0.591469832
1576,0.586202218,-0.409646535,-0.340066728,-0.381982935,-0.263575186,-0.593985109
1577,0.583115358,-0.410665347,-0.341869914,-0.38353678,-0.264781493,-0.597061061
1578,0.583285044,-0.411860396,-0.3433518,-0.385265099,-0.266076369,-0.60025167
1579,0.580184916,-0.411235644,-0.344438933,-0.384732666,-0.265411815,-0.598831271
1580,0.582176138,-0.411824752,-0.345139349,-0.385566312,-0.266040263,-0.599841632
1581,0.577252681,-0.41339901,-0.345542747,-0.387847463,-0.267969029,-0.604554661
1582,0.573969667,-0.414005941,-0.345802641,-0.388625135,-0.2681789,-0.605315276
1583,0.575291682,-0.414968317,-0.346103958,-0.389131092,-0.268259409,-0.607047552
1584,0.575871353,-0.414168317,-0.34662319,-0.38839921,-0.267720145,-0.604207816
1585,0.575641806,-0.41439901,-0.347490356,-0.388360239,-0.267498035,-0.605450246
1586,0.572575687,-0.41469604,-0.348761817,-0.389147274,-0.268328291,-0.607379456
1587,0.569216358,-0.415177228,-0.350410343,-0.389481152,-0.268972852,-0.610232672
1588,0.566035144,-0.41609604,-0.352334458,-0.389870437,-0.269935275,-0.612728482
1589,0.560640325,-0.417060396,-0.354384168,-0.39111207,-0.271277173,-0.614343511
1590,0.558122634,-0.417942574,-0.356396143,-0.391961763,-0.27252824,-0.615949019
1591,0.560329246,-0.419962376,-0.358229529,-0.394815047,-0.275809471,-0.61954739
1592,0.563741664,-0.421749505,-0.359794088,-0.396258762,-0.277611328,-0.625194608
1593,0.563278242,-0.423067327,-0.361065119,-0.397656,-0.279313591,-0.628109022
1594,0.562189932,-0.423827723,-0.362083356,-0.398150062,-0.28017163,-0.628606676
1595,0.559204662,-0.423978218,-0.362941718,-0.398867886,-0.281231287,-0.62944689
1596,0.558652585,-0.426020792,-0.363763231,-0.400717961,-0.283229666,-0.634566285
1597,0.560516991,-0.427311881,-0.364675345,-0.402004694,-0.285238918,-0.639774157
1598,0.560338982,-0.428009901,-0.365785419,-0.402368586,-0.285866215,-0.641360044
1599,0.561214257,-0.428363366,-0.36716096,-0.402302589,-0.286262986,-0.641366296
1600,0.562249539,-0.42879505,-0.368816942,-0.402541782,-0.286874055,-0.64096173
1601,0.563827253,-0.429410891,-0.370711659,-0.402956171,-0.287727167,-0.643477228
1602,0.560636634,-0.431348515,-0.372751866,-0.404877559,-0.290208073,-0.649735135
1603,0.557823298,-0.43289703,-0.374807306,-0.406527749,-0.292514492,-0.653954983
1604,0.551610717,-0.433994059,-0.376733455,-0.407413872,-0.293468454,-0.657738766
1605,0.552323226,-0.434026733,-0.378399581,-0.407681221,-0.294015349,-0.660415968
1606,0.555307445,-0.433670297,-0.379717187,-0.408063928,-0.294813461,-0.659803916
1607,0.554387152,-0.43329604,-0.380662418,-0.407820617,-0.294646629,-0.65875198
1608,0.548882533,-0.432907921,-0.381286008,-0.408319829,-0.295840944,-0.658098581
1609,0.544761606,-0.433480198,-0.381706298,-0.408853364,-0.295692709,-0.658865472
1610,0.543849889,-0.432738614,-0.38208478,-0.408417904,-0.294604073,-0.657866667
1611,0.545229317,-0.433210891,-0.382588683,-0.408659799,-0.294923989,-0.660739292
1612,0.546957861,-0.433847525,-0.383349604,-0.409156323,-0.295743818,-0.659471413
1613,0.548316253,-0.435728713,-0.38442966,-0.411452327,-0.298230708,-0.663065774
1614,0.550837678,-0.43710396,-0.385805616,-0.413466861,-0.299897309,-0.66797843
1615,0.546864091,-0.439339604,-0.387376895,-0.416186035,-0.302375758,-0.672760747
