Year,Reconstructed sLOD (ms),sLOD EOP C04 (ms),sLOD EOP C02 (ms),Spliced EOP C04 & reconstructed sLOD (ms)
1524,0.785532617,NaN,NaN,0.785532617
1525,0.830099195,NaN,NaN,0.830099195
1526,0.869766414,NaN,NaN,0.869766414
1527,0.536665539,NaN,NaN,0.536665539
1528,0.633027222,NaN,NaN,0.633027222
1529,0.218711976,NaN,NaN,0.218711976
1530,0.697149235,NaN,NaN,0.697149235
1531,0.486998576,NaN,NaN,0.486998576
1532,0.403960191,NaN,NaN,0.403960191
1533,0.389052615,NaN,NaN,0.389052615
1534,0.55644652,NaN,NaN,0.55644652
1535,0.714721421,NaN,NaN,0.714721421
1536,0.716228927,NaN,NaN,0.716228927
1537,0.809976203,NaN,NaN,0.809976203
1538,0.744991642,NaN,NaN,0.744991642
1539,1.020338829,NaN,NaN,1.020338829
1540,0.698451262,NaN,NaN,0.698451262
1541,0.538973972,NaN,NaN,0.538973972
1542,0.659811689,NaN,NaN,0.659811689
1543,0.637100041,NaN,NaN,0.637100041
1544,0.736298843,NaN,NaN,0.736298843
1545,0.534803702,NaN,NaN,0.534803702
1546,0.29966526,NaN,NaN,0.29966526
1547,0.461388653,NaN,NaN,0.461388653
1548,0.52421641,NaN,NaN,0.52421641
1549,0.580700266,NaN,NaN,0.580700266
1550,0.568335089,NaN,NaN,0.568335089
1551,0.830104299,NaN,NaN,0.830104299
1552,0.680740984,NaN,NaN,0.680740984
1553,0.821501556,NaN,NaN,0.821501556
1554,0.345946948,NaN,NaN,0.345946948
1555,0.559983802,NaN,NaN,0.559983802
1556,0.513318231,NaN,NaN,0.513318231
1557,1.058407697,NaN,NaN,1.058407697
1558,0.793151788,NaN,NaN,0.793151788
1559,0.797505601,NaN,NaN,0.797505601
1560,0.674803365,NaN,NaN,0.674803365
1561,0.520734394,NaN,NaN,0.520734394
1562,0.491285756,NaN,NaN,0.491285756
1563,0.4433157,NaN,NaN,0.4433157
1564,0.895525787,NaN,NaN,0.895525787
1565,0.611733029,NaN,NaN,0.611733029
1566,0.89181909,NaN,NaN,0.89181909
1567,0.637811884,NaN,NaN,0.637811884
1568,0.607053545,NaN,NaN,0.607053545
1569,0.442075716,NaN,NaN,0.442075716
1570,0.271128674,NaN,NaN,0.271128674
1571,0.211166463,NaN,NaN,0.211166463
1572,0.442924055,NaN,NaN,0.442924055
1573,0.471467098,NaN,NaN,0.471467098
1574,0.66574209,NaN,NaN,0.66574209
1575,0.527970028,NaN,NaN,0.527970028
1576,0.273306633,NaN,NaN,0.273306633
1577,0.531962034,NaN,NaN,0.531962034
1578,0.541612548,NaN,NaN,0.541612548
1579,0.215197408,NaN,NaN,0.215197408
1580,0.117443866,NaN,NaN,0.117443866
1581,0.315281436,NaN,NaN,0.315281436
1582,0.298515617,NaN,NaN,0.298515617
1583,0.447791216,NaN,NaN,0.447791216
1584,0.124341918,NaN,NaN,0.124341918
1585,0.250884176,NaN,NaN,0.250884176
1586,0.46685305,NaN,NaN,0.46685305
1587,0.568159762,NaN,NaN,0.568159762
1588,0.453740152,NaN,NaN,0.453740152
1589,0.662802502,NaN,NaN,0.662802502
1590,0.363047455,NaN,NaN,0.363047455
1591,0.510818749,NaN,NaN,0.510818749
1592,0.387608664,NaN,NaN,0.387608664
1593,0.329416105,NaN,NaN,0.329416105
1594,0.354382179,NaN,NaN,0.354382179
1595,0.11844297,NaN,NaN,0.11844297
1596,0.632207507,NaN,NaN,0.632207507
1597,0.747861925,NaN,NaN,0.747861925
1598,0.59577022,NaN,NaN,0.59577022
1599,0.996609471,NaN,NaN,0.996609471
1600,0.545732764,NaN,NaN,0.545732764
1601,0.863104053,NaN,NaN,0.863104053
1602,0.81603514,NaN,NaN,0.81603514
1603,0.693170434,NaN,NaN,0.693170434
1604,0.629252723,NaN,NaN,0.629252723
1605,0.691001672,NaN,NaN,0.691001672
1606,0.812491595,NaN,NaN,0.812491595
1607,0.645478239,NaN,NaN,0.645478239
1608,0.865032989,NaN,NaN,0.865032989
1609,0.883420027,NaN,NaN,0.883420027
1610,0.945506289,NaN,NaN,0.945506289
1611,0.947370597,NaN,NaN,0.947370597
1612,0.655639775,NaN,NaN,0.655639775
1613,0.257538241,NaN,NaN,0.257538241
1614,0.529166444,NaN,NaN,0.529166444
1615,0.496712479,NaN,NaN,0.496712479
1616,0.553456711,NaN,NaN,0.553456711
1617,0.841845159,NaN,NaN,0.841845159
1618,0.623373517,NaN,NaN,0.623373517
1619,0.914871254,NaN,NaN,0.914871254
1620,0.59653356,NaN,NaN,0.59653356
1621,0.72118666,NaN,NaN,0.72118666
1622,0.66339232,NaN,NaN,0.66339232
1623,0.680805847,NaN,NaN,0.680805847
1624,0.591509161,NaN,NaN,0.591509161
1625,0.889412717,NaN,NaN,0.889412717
1626,0.30432803,NaN,NaN,0.30432803
1627,0.557993529,NaN,NaN,0.557993529
1628,0.553803855,NaN,NaN,0.553803855
1629,0.319914257,NaN,NaN,0.319914257
1630,0.419825368,NaN,NaN,0.419825368
1631,0.199880147,NaN,NaN,0.199880147
1632,0.155414129,NaN,NaN,0.155414129
1633,0.53748367,NaN,NaN,0.53748367
1634,0.44759947,NaN,NaN,0.44759947
1635,0.533262219,NaN,NaN,0.533262219
1636,0.405043384,NaN,NaN,0.405043384
1637,0.376936682,NaN,NaN,0.376936682
1638,0.488673657,NaN,NaN,0.488673657
1639,0.200114941,NaN,NaN,0.200114941
1640,0.766052007,NaN,NaN,0.766052007
1641,0.921319065,NaN,NaN,0.921319065
1642,0.883628241,NaN,NaN,0.883628241
1643,0.613006028,NaN,NaN,0.613006028
1644,0.527180713,NaN,NaN,0.527180713
1645,0.434786608,NaN,NaN,0.434786608
1646,0.479043938,NaN,NaN,0.479043938
1647,0.48797025,NaN,NaN,0.48797025
1648,0.443409746,NaN,NaN,0.443409746
1649,0.612619201,NaN,NaN,0.612619201
1650,0.685263697,NaN,NaN,0.685263697
1651,0.727684175,NaN,NaN,0.727684175
1652,0.507851769,NaN,NaN,0.507851769
1653,0.396594122,NaN,NaN,0.396594122
1654,0.194030896,NaN,NaN,0.194030896
1655,0.41791034,NaN,NaN,0.41791034
1656,0.861389895,NaN,NaN,0.861389895
1657,0.420368597,NaN,NaN,0.420368597
1658,0.50244125,NaN,NaN,0.50244125
1659,0.376938134,NaN,NaN,0.376938134
1660,0.705422177,NaN,NaN,0.705422177
1661,0.814125641,NaN,NaN,0.814125641
1662,0.695317292,NaN,NaN,0.695317292
1663,0.628483381,NaN,NaN,0.628483381
1664,0.697979589,NaN,NaN,0.697979589
1665,0.494193514,NaN,NaN,0.494193514
1666,0.606898733,NaN,NaN,0.606898733
1667,0.349583609,NaN,NaN,0.349583609
1668,0.651913566,NaN,NaN,0.651913566
1669,0.271985224,NaN,NaN,0.271985224
1670,9.18E-02,NaN,NaN,0.091778567
1671,0.731190361,NaN,NaN,0.731190361
1672,0.950308579,NaN,NaN,0.950308579
1673,0.568678307,NaN,NaN,0.568678307
1674,0.91075656,NaN,NaN,0.91075656
1675,0.698923174,NaN,NaN,0.698923174
1676,0.472132975,NaN,NaN,0.472132975
1677,0.680177233,NaN,NaN,0.680177233
1678,0.661634633,NaN,NaN,0.661634633
1679,0.561401857,NaN,NaN,0.561401857
1680,0.783676362,NaN,NaN,0.783676362
1681,0.891687999,NaN,NaN,0.891687999
1682,0.900806432,NaN,NaN,0.900806432
1683,0.661746782,NaN,NaN,0.661746782
1684,0.633310572,NaN,NaN,0.633310572
1685,0.677512139,NaN,NaN,0.677512139
1686,0.441864344,NaN,NaN,0.441864344
1687,0.776111502,NaN,NaN,0.776111502
1688,0.63391172,NaN,NaN,0.63391172
1689,0.67371324,NaN,NaN,0.67371324
1690,0.421360033,NaN,NaN,0.421360033
1691,0.237968868,NaN,NaN,0.237968868
1692,0.612588669,NaN,NaN,0.612588669
1693,0.576487592,NaN,NaN,0.576487592
1694,0.751930043,NaN,NaN,0.751930043
1695,0.509477367,NaN,NaN,0.509477367
1696,0.760099354,NaN,NaN,0.760099354
1697,0.788146966,NaN,NaN,0.788146966
1698,0.525416735,NaN,NaN,0.525416735
1699,0.561304062,NaN,NaN,0.561304062
1700,0.767806983,NaN,NaN,0.767806983
1701,0.490611291,NaN,NaN,0.490611291
1702,1.009576869,NaN,NaN,1.009576869
1703,0.372243603,NaN,NaN,0.372243603
1704,0.79760164,NaN,NaN,0.79760164
1705,0.607894698,NaN,NaN,0.607894698
1706,0.393429418,NaN,NaN,0.393429418
1707,0.559651281,NaN,NaN,0.559651281
1708,0.399337423,NaN,NaN,0.399337423
1709,0.526770242,NaN,NaN,0.526770242
1710,0.33898723,NaN,NaN,0.33898723
1711,0.525867548,NaN,NaN,0.525867548
1712,0.515184165,NaN,NaN,0.515184165
1713,0.468153844,NaN,NaN,0.468153844
1714,0.55317728,NaN,NaN,0.55317728
1715,0.570133347,NaN,NaN,0.570133347
1716,0.723346178,NaN,NaN,0.723346178
1717,0.519210825,NaN,NaN,0.519210825
1718,0.556979387,NaN,NaN,0.556979387
1719,0.482378726,NaN,NaN,0.482378726
1720,0.62902301,NaN,NaN,0.62902301
1721,0.400930065,NaN,NaN,0.400930065
1722,0.607723313,NaN,NaN,0.607723313
1723,0.806857453,NaN,NaN,0.806857453
1724,0.58379949,NaN,NaN,0.58379949
1725,0.817511256,NaN,NaN,0.817511256
1726,0.497801523,NaN,NaN,0.497801523
1727,0.851115005,NaN,NaN,0.851115005
1728,0.418314553,NaN,NaN,0.418314553
1729,0.259069959,NaN,NaN,0.259069959
1730,0.975890191,NaN,NaN,0.975890191
1731,0.721551134,NaN,NaN,0.721551134
1732,0.846856037,NaN,NaN,0.846856037
1733,0.209974548,NaN,NaN,0.209974548
1734,0.72433564,NaN,NaN,0.72433564
1735,0.329483672,NaN,NaN,0.329483672
1736,0.463855605,NaN,NaN,0.463855605
1737,0.388612106,NaN,NaN,0.388612106
1738,0.876117216,NaN,NaN,0.876117216
1739,0.791518574,NaN,NaN,0.791518574
1740,1.062410505,NaN,NaN,1.062410505
1741,0.682282633,NaN,NaN,0.682282633
1742,0.765172921,NaN,NaN,0.765172921
1743,0.764003279,NaN,NaN,0.764003279
1744,0.682568228,NaN,NaN,0.682568228
1745,0.766962308,NaN,NaN,0.766962308
1746,0.886970269,NaN,NaN,0.886970269
1747,0.880531164,NaN,NaN,0.880531164
1748,0.356562906,NaN,NaN,0.356562906
1749,0.726422752,NaN,NaN,0.726422752
1750,0.609735653,NaN,NaN,0.609735653
1751,0.603457024,NaN,NaN,0.603457024
1752,0.269400863,NaN,NaN,0.269400863
1753,0.327835024,NaN,NaN,0.327835024
1754,0.307939724,NaN,NaN,0.307939724
1755,0.317889898,NaN,NaN,0.317889898
1756,0.349777953,NaN,NaN,0.349777953
1757,0.44166672,NaN,NaN,0.44166672
1758,0.650312059,NaN,NaN,0.650312059
1759,0.671107783,NaN,NaN,0.671107783
1760,0.598119448,NaN,NaN,0.598119448
1761,0.562991896,NaN,NaN,0.562991896
1762,0.569652884,NaN,NaN,0.569652884
1763,0.582203294,NaN,NaN,0.582203294
1764,0.485798011,NaN,NaN,0.485798011
1765,0.441767681,NaN,NaN,0.441767681
1766,0.701742638,NaN,NaN,0.701742638
1767,0.819509067,NaN,NaN,0.819509067
1768,0.68188376,NaN,NaN,0.68188376
1769,0.898655733,NaN,NaN,0.898655733
1770,0.614027379,NaN,NaN,0.614027379
1771,0.803991965,NaN,NaN,0.803991965
1772,0.506017698,NaN,NaN,0.506017698
1773,0.69905417,NaN,NaN,0.69905417
1774,0.691753177,NaN,NaN,0.691753177
1775,0.530960602,NaN,NaN,0.530960602
1776,0.458373924,NaN,NaN,0.458373924
1777,0.469778657,NaN,NaN,0.469778657
1778,0.647677656,NaN,NaN,0.647677656
1779,0.507338429,NaN,NaN,0.507338429
1780,0.594889009,NaN,NaN,0.594889009
1781,0.518749934,NaN,NaN,0.518749934
1782,8.29E-02,NaN,NaN,0.082851039
1783,0.320953257,NaN,NaN,0.320953257
1784,0.737802369,NaN,NaN,0.737802369
1785,0.75800559,NaN,NaN,0.75800559
1786,0.668610689,NaN,NaN,0.668610689
1787,0.622695727,NaN,NaN,0.622695727
1788,0.444489466,NaN,NaN,0.444489466
1789,0.863161556,NaN,NaN,0.863161556
1790,0.923639566,NaN,NaN,0.923639566
1791,0.831076086,NaN,NaN,0.831076086
1792,1.13767146,NaN,NaN,1.13767146
1793,0.772419315,NaN,NaN,0.772419315
1794,0.512216166,NaN,NaN,0.512216166
1795,0.419858987,NaN,NaN,0.419858987
1796,0.411663361,NaN,NaN,0.411663361
1797,0.580783882,NaN,NaN,0.580783882
1798,0.729519899,NaN,NaN,0.729519899
1799,0.795811729,NaN,NaN,0.795811729
1800,0.439164111,NaN,NaN,0.439164111
1801,0.690835868,NaN,NaN,0.690835868
1802,0.54751433,NaN,NaN,0.54751433
1803,0.569136786,NaN,NaN,0.569136786
1804,0.726530339,NaN,NaN,0.726530339
1805,0.689072161,NaN,NaN,0.689072161
1806,0.576094407,NaN,NaN,0.576094407
1807,0.387393783,NaN,NaN,0.387393783
1808,0.4920395,NaN,NaN,0.4920395
1809,0.458924594,NaN,NaN,0.458924594
1810,0.446747926,NaN,NaN,0.446747926
1811,0.571578105,NaN,NaN,0.571578105
1812,0.404958568,NaN,NaN,0.404958568
1813,0.462517868,NaN,NaN,0.462517868
1814,0.531163003,NaN,NaN,0.531163003
1815,0.373059956,NaN,NaN,0.373059956
1816,0.539457989,NaN,NaN,0.539457989
1817,0.561590654,NaN,NaN,0.561590654
1818,0.369804092,NaN,NaN,0.369804092
1819,0.407149377,NaN,NaN,0.407149377
1820,0.334142522,NaN,NaN,0.334142522
1821,0.383403383,NaN,NaN,0.383403383
1822,0.236911281,NaN,NaN,0.236911281
1823,0.422435189,NaN,NaN,0.422435189
1824,0.231544928,NaN,NaN,0.231544928
1825,0.71848347,NaN,NaN,0.71848347
1826,0.719001607,NaN,NaN,0.719001607
1827,0.41270609,NaN,NaN,0.41270609
1828,0.682718557,NaN,NaN,0.682718557
1829,0.255086877,NaN,NaN,0.255086877
1830,0.720074697,NaN,NaN,0.720074697
1831,0.536317375,NaN,0.079,0.536317375
1832,0.432236303,NaN,0.163,0.432236303
1833,0.635995959,NaN,0.053,0.635995959
1834,0.527140927,NaN,-0.344,0.527140927
1835,0.562963198,NaN,-4.43E-01,0.562963198
1836,0.544704769,NaN,-0.265,0.544704769
1837,0.342091265,NaN,NaN,0.342091265
1838,0.44340098,NaN,0.455,0.44340098
1839,0.631893266,NaN,-0.112,0.631893266
1840,0.38450149,NaN,NaN,0.38450149
1841,5.45E-02,NaN,-0.269,0.054475221
1842,0.450348425,NaN,-0.041,0.450348425
1843,0.217838929,NaN,0.268,0.217838929
1844,0.137158153,NaN,-4.56E-01,0.137158153
1845,0.506430378,NaN,-0.743,0.506430378
1846,0.50095093,NaN,0.284,0.50095093
1847,0.383781961,NaN,0.338,0.383781961
1848,0.710694584,NaN,0.243,0.710694584
1849,0.459955603,NaN,NaN,0.459955603
1850,0.578042392,NaN,-0.339,0.578042392
1851,0.723235574,NaN,0.473,0.723235574
1852,0.759963851,NaN,NaN,0.759963851
1853,0.901520815,NaN,-4.14E-01,0.901520815
1854,0.790402274,NaN,-0.086,0.790402274
1855,0.898583912,NaN,0.4,0.898583912
1856,0.459019102,NaN,-0.026,0.459019102
1857,0.419130879,NaN,-0.239,0.419130879
1858,0.380074569,NaN,-0.215,0.380074569
1859,0.454893503,NaN,0.711,0.454893503
1860,0.651544961,NaN,0.19,0.651544961
1861,0.607870153,NaN,0.064,0.607870153
1862,0.669467294,NaN,0.28,0.669467294
1863,0.621506905,NaN,NaN,0.621506905
1864,-3.90E-02,NaN,-0.181,-0.038969352
1865,0.325763814,NaN,0.616,0.325763814
1866,0.733436348,NaN,0.243,0.733436348
1867,0.349480189,NaN,-0.022,0.349480189
1868,0.93506531,NaN,-0.208,0.93506531
1869,0.754597535,NaN,-0.081,0.754597535
1870,0.36353407,NaN,0.487,0.36353407
1871,0.256041079,NaN,-5.09E-01,0.256041079
1872,0.408932533,NaN,NaN,0.408932533
1873,0.417094453,NaN,0.224,0.417094453
1874,0.632815489,NaN,-5.40E-01,0.632815489
1875,0.442304399,NaN,NaN,0.442304399
1876,0.513665288,NaN,0.155,0.513665288
1877,0.310658569,NaN,0.295,0.310658569
1878,0.822069683,NaN,NaN,0.822069683
1879,0.496380207,NaN,-0.822,0.496380207
1880,0.314936498,NaN,-0.356,0.314936498
1881,0.249475427,NaN,0.096,0.249475427
1882,0.234116374,NaN,0.053,0.234116374
1883,0.235356617,NaN,0.022,0.235356617
1884,0.411003486,NaN,-0.024,0.411003486
1885,0.425163214,NaN,0.091,0.425163214
1886,0.644475016,NaN,NaN,0.644475016
1887,0.315929185,NaN,-0.348,0.315929185
1888,0.326664761,NaN,0.275,0.326664761
1889,0.565306914,NaN,NaN,0.565306914
1890,0.617144464,NaN,-0.129,0.617144464
1891,0.672015451,NaN,0.128,0.672015451
1892,0.569415351,NaN,-0.03,0.569415351
1893,0.327727958,NaN,-4.95E-01,0.327727958
1894,0.323453407,NaN,-0.102,0.323453407
1895,0.266709188,NaN,NaN,0.266709188
1896,0.369464897,NaN,-4.33E-01,0.369464897
1897,0.24343117,NaN,-0.261,0.24343117
1898,0.253521381,NaN,NaN,0.253521381
